val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.565217,0.698652,0.565217,0.000020,0.716533,46.000000,
0.673913,0.663324,0.673913,0.000018,0.695178,92.000000,
0.724638,0.512587,0.724638,0.000016,0.686729,138.000000,
0.717391,0.728659,0.724638,0.000013,0.586141,184.000000,
0.659420,0.969845,0.724638,0.000011,0.487252,230.000000,
0.666667,1.094156,0.724638,0.000009,0.366386,276.000000,
0.681159,1.324198,0.724638,0.000007,0.289951,322.000000,
0.688406,1.121048,0.724638,0.000005,0.216642,368.000000,
0.702899,1.075453,0.724638,0.000003,0.170329,414.000000,
0.710145,1.088940,0.724638,0.000000,0.132826,460.000000,
0.710145,1.092987,0.724638,0.000000,0.169124,468.000000,
